Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.4111217,297.24242424242425,-0.2714565,0.12121212121212122,0.12121212121212122,0.015590847,0.23838508,0.00029996992,1.0
20000,1.397101,157.79365079365078,0.07557302,0.12698412698412698,0.12698412698412698,0.0051587494,0.24232304,0.00029990985,1.0
30000,1.3850534,175.98214285714286,0.005758469,0.08928571428571429,0.08928571428571429,0.0046726866,0.25115445,0.00029985016,1.0
40000,1.3714,147.08823529411765,0.03744313,0.10294117647058823,0.10294117647058823,0.0031158254,0.24252439,0.0002997905,1.0
50000,1.3681602,138.0,0.015864776,0.2191780821917808,0.2191780821917808,0.0026846498,0.23998089,0.00029973034,1.0
60000,1.356933,98.87,0.106907584,0.22,0.22,0.0019661388,0.2441964,0.00029966986,1.0
70000,1.3386401,102.43298969072166,0.06499806,0.17525773195876287,0.17525773195876287,0.0057198824,0.24167345,0.00029961037,1.0
80000,1.30923,98.36,0.15806963,0.22,0.22,0.0033975795,0.2414778,0.00029954978,1.0
90000,1.2827486,91.78703703703704,0.12675321,0.26851851851851855,0.26851851851851855,0.0044242865,0.25746366,0.00029949058,1.0
100000,1.2594151,76.72868217054264,0.21248779,0.32558139534883723,0.32558139534883723,0.0031442042,0.24694905,0.0002994299,1.0
110000,1.238569,68.08275862068966,0.23734394,0.35172413793103446,0.35172413793103446,0.0029458208,0.25056067,0.00029936997,1.0
120000,1.2269777,66.28859060402685,0.193845,0.31756756756756754,0.31756756756756754,0.0028392302,0.24894172,0.0002993099,1.0
130000,1.2114851,65.68456375838926,0.20348103,0.3466666666666667,0.3466666666666667,0.0021066898,0.24534622,0.00029925056,1.0
140000,1.1993111,68.51724137931035,0.1581315,0.2986111111111111,0.2986111111111111,0.0013600434,0.24389678,0.00029918994,1.0
150000,1.2048253,60.60493827160494,0.22670327,0.35185185185185186,0.35185185185185186,0.001447326,0.24642497,0.00029913062,1.0
160000,1.2085311,66.00671140939598,0.2159336,0.3221476510067114,0.3221476510067114,0.0012886084,0.24598084,0.0002990701,1.0
170000,1.2079571,69.70212765957447,0.14931314,0.2746478873239437,0.2746478873239437,0.0014377208,0.25578848,0.00029900996,1.0
180000,1.2334512,63.19871794871795,0.23336864,0.3782051282051282,0.3782051282051282,0.0023046338,0.24379648,0.0002989497,1.0
190000,1.2545617,65.3112582781457,0.23947667,0.37748344370860926,0.37748344370860926,0.0021407101,0.24544764,0.00029889023,1.0
200000,1.2309377,64.48366013071896,0.22836414,0.375,0.375,0.0024678344,0.24516077,0.00029883007,1.0
210000,1.2156103,60.96894409937888,0.29502293,0.4382716049382716,0.4382716049382716,0.0024625584,0.24691656,0.00029877003,1.0
220000,1.2200693,60.23312883435583,0.22229083,0.3803680981595092,0.3803680981595092,0.0024813106,0.23737223,0.0002987099,1.0
230000,1.21767,54.388888888888886,0.29386574,0.4444444444444444,0.4444444444444444,0.0017075684,0.24739248,0.00029865012,1.0
240000,1.2366455,62.43396226415094,0.23596218,0.3860759493670886,0.3860759493670886,0.0015488095,0.24636152,0.0002985899,1.0
250000,1.2480168,67.13013698630137,0.22261742,0.3673469387755102,0.3673469387755102,0.0021789693,0.24696444,0.00029852975,1.0
260000,1.2525319,66.30405405405405,0.21916881,0.3581081081081081,0.3581081081081081,0.0032221843,0.26421198,0.00029847035,1.0
270000,1.2557412,70.42553191489361,0.1660708,0.2857142857142857,0.2857142857142857,0.0024070789,0.24333899,0.0002984101,1.0
280000,1.2745724,77.81102362204724,0.13854828,0.2755905511811024,0.2755905511811024,0.0018032299,0.2419119,0.00029834989,1.0
